method,method_label,method_kind,regime,budget_fraction,budget_bytes,used_protection_bytes,budget_utilization,protected_expert_count,total_projected_expert_bytes,effective_bits_per_weight,coverage_general,coverage_math,coverage_coding,coverage_reasoning,coverage_min,coverage_mean,routing_coverage_min
robust_functional,Robust-Functional,deterministic_milp,4to8,0.2,644245094,641728512,0.9960937506184564,204,3963617280,4.921875,0.5825781651679067,0.5872040306633434,0.5858990281811531,0.5862638748740006,0.5825781651679067,0.585486274721601,0.4687916810749395
robust_routing,Robust-Routing,deterministic_milp,4to8,0.2,644245094,641728512,0.9960937506184564,204,3963617280,4.921875,0.5115506724456187,0.5460106902322726,0.5874687668249429,0.5560412028615942,0.5115506724456187,0.550267833091107,0.5606796116504855
average_specialization,Average-Specialization,deterministic_milp,4to8,0.2,644245094,641728512,0.9960937506184564,204,3963617280,4.921875,0.4316455309381456,0.6171209063717683,0.7516117904820294,0.6049922837140616,0.4316455309381456,0.6013426278765013,0.42201127419697915
global_importance,Global-Importance,deterministic_milp,4to8,0.2,644245094,641728512,0.9960937506184564,204,3963617280,4.921875,0.09572000152871439,0.35558235277764993,0.8083845276118692,0.4705457421480606,0.09572000152871439,0.4325581560165735,0.08234950010636032
general_only,General-Only,deterministic_milp,4to8,0.2,644245094,641728512,0.9960937506184564,204,3963617280,4.921875,0.638584537835638,0.17055977646612286,0.08364851057342108,0.10668577774937582,0.08364851057342108,0.24986965065613942,0.07066574202496533
math_only,Math-Only,deterministic_milp,4to8,0.2,644245094,641728512,0.9960937506184564,204,3963617280,4.921875,0.02830173848990511,0.7615981973538104,0.18631175790896626,0.1791907008703403,0.02830173848990511,0.2888505986557555,0.022282493086577315
coding_only,Coding-Only,deterministic_milp,4to8,0.2,644245094,641728512,0.9960937506184564,204,3963617280,4.921875,0.014328007051402362,0.24068520624024536,0.9885541719914118,0.1637520866860201,0.014328007051402362,0.3518298679922699,0.003084450116996384
reasoning_only,Reasoning-Only,deterministic_milp,4to8,0.2,644245094,641728512,0.9960937506184564,204,3963617280,4.921875,0.014200597784072004,0.2020950430422889,0.1669570604238735,0.747976678500593,0.014200597784072004,0.2828073449377069,0.012603701340140393
random_seed1001,Random (seed 1001),random,4to8,0.2,644245094,641728512,0.9960937506184564,204,3963617280,4.921875,0.17153437635549945,0.15842227545395457,0.18669581194281504,0.19420157285921907,0.15842227545395457,0.17771350915287204,0.15163898409350557
random_seed1002,Random (seed 1002),random,4to8,0.2,644245094,641728512,0.9960937506184564,204,3963617280,4.921875,0.1840066888166512,0.25666414014730043,0.21935728323073594,0.1460757264486451,0.1460757264486451,0.20152595966083317,0.14885575589459085
random_seed1003,Random (seed 1003),random,4to8,0.2,644245094,641728512,0.9960937506184564,204,3963617280,4.921875,0.19873250789269375,0.21000504593939426,0.2170988312646762,0.2342405673191463,0.19873250789269375,0.21501923810397763,0.175739761893
random_seed1004,Random (seed 1004),random,4to8,0.2,644245094,641728512,0.9960937506184564,204,3963617280,4.921875,0.21390150364874655,0.1938053956660795,0.2143171059250764,0.17513755133935624,0.17513755133935624,0.19929038914481467,0.18637309292649096
random_seed1005,Random (seed 1005),random,4to8,0.2,644245094,641728512,0.9960937506184564,204,3963617280,4.921875,0.18747118300955656,0.22096256555842692,0.1961439619574488,0.2707738852354691,0.18747118300955656,0.21883789894022534,0.18549622091587212
robust_functional,Robust-Functional,deterministic_milp,4to8,0.3,966367641,965738496,0.9993489589538108,307,4287627264,5.32421875,0.7200118245633095,0.7203755865655739,0.719617406754772,0.7196257129000131,0.719617406754772,0.7199076326959171,0.5904299583911234
robust_routing,Robust-Routing,deterministic_milp,4to8,0.3,966367641,965738496,0.9993489589538108,307,4287627264,5.32421875,0.6394350492540387,0.6490438929368748,0.7338128785117275,0.6673975215872892,0.6394350492540387,0.6724223355724825,0.6905703488883035
average_specialization,Average-Specialization,deterministic_milp,4to8,0.3,966367641,965738496,0.9993489589538108,307,4287627264,5.32421875,0.6534314688931833,0.730388918941125,0.8509715837169156,0.6811360310411921,0.6534314688931833,0.728982000648104,0.5604715672676839
global_importance,Global-Importance,deterministic_milp,4to8,0.3,966367641,965738496,0.9993489589538108,307,4287627264,5.32421875,0.20270578741682505,0.512207832496625,0.856804274704831,0.6055742305374933,0.20270578741682505,0.5443230312889435,0.1612954690491384
general_only,General-Only,deterministic_milp,4to8,0.3,966367641,965738496,0.9993489589538108,307,4287627264,5.32421875,0.7654279109057442,0.296916462149576,0.11768961917014024,0.17555266853214777,0.11768961917014024,0.3388966651894021,0.11154473151212763
math_only,Math-Only,deterministic_milp,4to8,0.3,966367641,965738496,0.9993489589538108,307,4287627264,5.32421875,0.05352595367165932,0.8708424984163271,0.22540011164676593,0.3347089497260248,0.05352595367165932,0.37111937836519426,0.04565517974898957
