workload,regime,capacity,stage0_simple_policy,stage0_simple_cost,stage1_cost,RACE_UNIFORM_cost,RACE_STATIC_cost,RACE_ONLINE_cost,RACE_COST_cost,RACE_STATIC_PERLAYER_cost,RACE_ONLINE_GLOBAL_cost,RACE_UNIFORM_EXTENDED_cost,RACE_STATIC_EXTENDED_cost,RACE_ONLINE_EXTENDED_cost,RACE_COST_EXTENDED_cost,oracle_cost,race_improvement_over_stage1,original_oracle_gap_closed,stage1_residual_recovered,regression_ratio
math_to_reasoning,abrupt,12,lfu_decay,1236462.0,1206678.0,1227443.0,1225882.0,1226055.0,1218734.0,1225356.0,1236283.0,1222241.0,1225291.0,1206864.0,1206760.0,1018354.0,-0.016058136470541436,0.04771489353898069,-0.10289182472759711,1.0160581364705414
math_to_reasoning,abrupt,16,lfu_decay,1021475.0,980150.0,1006133.0,1002549.0,996351.0,996255.0,1001033.0,1007249.0,998979.0,1001717.0,980408.0,980134.0,754887.0,-0.016529102688364026,0.09424280162647981,-0.0719203775142833,1.016529102688364
math_to_reasoning,abrupt,24,lfu_decay,685455.0,645043.0,663414.0,662342.0,662927.0,679696.0,661715.0,677315.0,656909.0,661738.0,645453.0,646333.0,432616.0,-0.02772528343071702,0.08910017837438053,-0.08418892137063556,1.0277252834307171
math_to_reasoning,abrupt,32,lfu_decay,428958.0,401800.0,413871.0,409220.0,414090.0,440107.0,409459.0,428212.0,409648.0,408932.0,402210.0,404164.0,235782.0,-0.030587356893977104,0.07696608274319791,-0.07402811743304943,1.0305873568939772
repeated_domain_cycle,repeated,8,lfu,936595.0,936595.0,936595.0,936595.0,936595.0,936595.0,936595.0,936595.0,936595.0,936595.0,936595.0,936595.0,936595.0,0.0,,,1.0
repeated_domain_cycle,repeated,12,lfu_decay,727303.0,716788.0,736108.0,729598.0,726356.0,724517.0,728956.0,727323.0,732004.0,729076.0,716284.0,716470.0,598832.0,-0.013348437752864166,0.007371313370332604,-0.08111499203092679,1.013348437752864
repeated_domain_cycle,repeated,16,lfu_decay,592679.0,577674.0,601490.0,591093.0,587541.0,586116.0,590061.0,591608.0,595152.0,590490.0,577256.0,577393.0,436094.0,-0.017080567932778696,0.032812849251205416,-0.06969204689927956,1.0170805679327788
repeated_domain_cycle,repeated,24,lfu_decay,390600.0,377218.0,399184.0,389211.0,382562.0,389148.0,388594.0,389084.0,392865.0,388739.0,376341.0,376766.0,244364.0,-0.014166874327312059,0.05496594545802675,-0.040224607463832475,1.014166874327312
repeated_domain_cycle,repeated,32,lfu_decay,243124.0,235345.0,250819.0,241500.0,236395.0,247345.0,241732.0,243096.0,245713.0,241023.0,234081.0,234698.0,132133.0,-0.004461535193014511,0.06062653728680704,-0.010173235670270899,1.0044615351930146
mixed_interleaved,mixed,8,lfu,2994367.0,2994367.0,2994367.0,2994367.0,2994367.0,2994367.0,2994367.0,2994367.0,2994367.0,2994367.0,2994367.0,2994367.0,2994367.0,0.0,,,1.0
mixed_interleaved,mixed,12,lfu_decay,2322183.0,2277997.0,2325839.0,2310148.0,2309796.0,2302740.0,2308546.0,2322071.0,2314376.0,2308895.0,2278156.0,2278197.0,1898544.0,-0.013959193098147188,0.029239517608152223,-0.08380221002337575,1.013959193098147
mixed_interleaved,mixed,16,lfu_decay,1894325.0,1831903.0,1887976.0,1866217.0,1864665.0,1863447.0,1863259.0,1887541.0,1871699.0,1864758.0,1832060.0,1832181.0,1377663.0,-0.017884134694904696,0.05740697012747212,-0.07212486791123635,1.0178841346949048
mixed_interleaved,mixed,24,lfu_decay,1257349.0,1193292.0,1239642.0,1222508.0,1219981.0,1243062.0,1220921.0,1253501.0,1224100.0,1221437.0,1193467.0,1193760.0,771488.0,-0.022365858482249104,0.0769108860353064,-0.06327346350437645,1.022365858482249
mixed_interleaved,mixed,32,lfu_decay,790086.0,745919.0,777281.0,759026.0,759451.0,797904.0,759498.0,799719.0,765796.0,758382.0,745853.0,746413.0,420918.0,-0.018141379962167473,0.08298389892948468,-0.041636794963707806,1.0181413799621675
