variant,capacity,resolved_examples,cumulative_mixture_rank_loss,best_fixed_adviser_rank_loss,best_fixed_adviser_by_rank_loss,empirical_rank_regret,empirical_rank_regret_per_example,cumulative_mixture_cost_loss,best_fixed_adviser_cost_loss,best_fixed_adviser_by_cost_loss,empirical_cost_regret,mean_mixture_rank_loss,mean_adviser_rank_loss,adviser_order
RACE_ONLINE_GLOBAL,8,0,0.0,0.0,MARKOV_H1,0.0,0.0,0.0,0.0,MARKOV_H1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_ONLINE_GLOBAL,12,2674868,926670.1129578436,924499.1834360214,LFU_DECAY,2170.9295218221378,0.0008116024872338141,871305.0049749777,872812.4008672369,LFU_DECAY,-1507.3958922591992,0.3464358289672027,"[0.3652280245675271, 0.36523570592706545, 0.37579612106321836, 0.39653795863858265, 0.4196637085492786, 0.4345011628919356, 0.3552232095253833, 0.3456242264799689, 0.5335567069281526]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_ONLINE_GLOBAL,16,2538554,944882.3302703847,939450.2891977548,LFU_DECAY,5432.041072629858,0.002139817026791574,888645.4424981659,855179.2728054973,MARKOV_H1,33466.1696926686,0.37221281496095204,"[0.37954031549337097, 0.3777485484003021, 0.3853424623362781, 0.4026232352096469, 0.4232548893424662, 0.4375046556614067, 0.37672066417280364, 0.3700729979341605, 0.5189337825885435]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_ONLINE_GLOBAL,24,2149621,844537.7477391383,834717.5142258191,LFU_DECAY,9820.233513319166,0.004568355776817945,783783.0773823627,737369.720965149,MARKOV_H1,46413.35641721368,0.39287751084453415,"[0.39565897196248384, 0.3904600027854705, 0.39316526018535175, 0.40540436978457484, 0.42226339006211416, 0.4353729905480207, 0.39113543983239074, 0.3883091550677162, 0.49597433940667024]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_ONLINE_GLOBAL,32,1670128,661597.713031909,653115.6506431655,LFU_DECAY,8482.062388743507,0.005078690009833681,612823.4919577972,571160.510372437,MARKOV_H1,41662.98158536025,0.39613593271408476,"[0.40067733974380915, 0.39354489374295376, 0.39395001883119396, 0.40318620248313786, 0.4172444362781735, 0.4291345048485485, 0.3921179603873272, 0.3910572427042511, 0.4855710467223714]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_STATIC,8,0,0.0,0.0,MARKOV_H1,0.0,0.0,0.0,0.0,MARKOV_H1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_STATIC,12,2666043,1133851.8093898662,898990.6520203513,LFU_DECAY,234861.15736951493,0.08809353688950813,1098635.8500351002,843836.0733809096,LFU_DECAY,254799.77665419062,0.42529389413068963,"[0.3588304062679272, 0.35790549071371436, 0.3674868362873756, 0.38751237804919725, 0.4118614864267686, 0.42730215162179275, 0.3466792197464215, 0.3372003572411815, 0.5336440161083145]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_STATIC,16,2531392,1092536.147333773,917666.7182864451,LFU_DECAY,174869.42904732795,0.0690803435609056,1050929.6981922295,844939.981792358,MARKOV_H1,205989.7163998715,0.4315950067527167,"[0.3771399583871576, 0.37553641792189757, 0.3834146360368014, 0.401868375639782, 0.42476211150815013, 0.4400099961720174, 0.3694400455680908, 0.36251466319181114, 0.5175629584879274]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_STATIC,24,2157698,940034.1543683597,828265.5355117251,LFU_DECAY,111768.6188566346,0.051799936254579924,897413.5616934922,756067.1554611002,MARKOV_H1,141346.40623239207,0.4356653036561927,"[0.40156364411543777, 0.3977285734636284, 0.40182376684994686, 0.41561681699119096, 0.4334156011540676, 0.44637635178229934, 0.38725111469169243, 0.3838653674016128, 0.4962612375806018]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_STATIC,32,1668567,728039.2873824199,649808.373185952,LFU_DECAY,78230.91419646796,0.04688509013810531,692278.2806206967,598721.016008645,MARKOV_H1,93557.26461205177,0.43632607344051505,"[0.41563938801986955, 0.4094375271354656, 0.4101899962854057, 0.41930005290071437, 0.4323802950228471, 0.44349688179368196, 0.39124876428733524, 0.3894409833024098, 0.4864448486437222]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
