variant,capacity,spare_residency,mean_weight_GATE_EWMA,mean_weight_LFU_DECAY,mean_weight_MARKOV_H1,mean_weight_MARKOV_H16,mean_weight_MARKOV_H2,mean_weight_MARKOV_H32,mean_weight_MARKOV_H4,mean_weight_MARKOV_H8,mean_weight_PERSISTENCE,markov_H1,markov_H2,markov_H4,markov_H8,markov_H16,markov_H32,markov_mass,weighted_mean_markov_horizon
RACE_STATIC_PERLAYER,8,0,0.134337379869508,0.10893792426685367,0.1438127797045923,0.07072974928350992,0.022496375282199523,0.021026514552606207,0.07971121017407092,0.058209930717967415,0.360738136148692,0.1438127797045923,0.022496375282199523,0.07971121017407092,0.058209930717967415,0.07072974928350992,0.021026514552606207,0.3959865597149463,7.0150216030772095
RACE_STATIC_PERLAYER,12,4,0.134337379869508,0.10893792426685367,0.1438127797045923,0.07072974928350992,0.022496375282199523,0.021026514552606207,0.07971121017407092,0.058209930717967415,0.360738136148692,0.1438127797045923,0.022496375282199523,0.07971121017407092,0.058209930717967415,0.07072974928350992,0.021026514552606207,0.3959865597149463,7.0150216030772095
RACE_STATIC_PERLAYER,16,8,0.134337379869508,0.10893792426685367,0.1438127797045923,0.07072974928350992,0.022496375282199523,0.021026514552606207,0.07971121017407092,0.058209930717967415,0.360738136148692,0.1438127797045923,0.022496375282199523,0.07971121017407092,0.058209930717967415,0.07072974928350992,0.021026514552606207,0.3959865597149463,7.0150216030772095
RACE_STATIC_PERLAYER,24,16,0.134337379869508,0.10893792426685367,0.1438127797045923,0.07072974928350992,0.022496375282199523,0.021026514552606207,0.07971121017407092,0.058209930717967415,0.360738136148692,0.1438127797045923,0.022496375282199523,0.07971121017407092,0.058209930717967415,0.07072974928350992,0.021026514552606207,0.3959865597149463,7.0150216030772095
RACE_STATIC_PERLAYER,32,24,0.134337379869508,0.10893792426685367,0.1438127797045923,0.07072974928350992,0.022496375282199523,0.021026514552606207,0.07971121017407092,0.058209930717967415,0.360738136148692,0.1438127797045923,0.022496375282199523,0.07971121017407092,0.058209930717967415,0.07072974928350992,0.021026514552606207,0.3959865597149463,7.0150216030772095
RACE_UNIFORM,8,0,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.6666666666666667,10.500000000000002
RACE_UNIFORM,12,4,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.6666666666666667,10.500000000000002
RACE_UNIFORM,16,8,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.6666666666666667,10.500000000000002
RACE_UNIFORM,24,16,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.6666666666666667,10.500000000000002
RACE_UNIFORM,32,24,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.6666666666666667,10.500000000000002
RACE_UNIFORM_EXTENDED,8,0,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.6000000000000001,10.500000000000002
RACE_UNIFORM_EXTENDED,12,4,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.6000000000000001,10.500000000000002
RACE_UNIFORM_EXTENDED,16,8,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.6000000000000001,10.500000000000002
RACE_UNIFORM_EXTENDED,24,16,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.6000000000000001,10.500000000000002
RACE_UNIFORM_EXTENDED,32,24,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.6000000000000001,10.500000000000002
