workload,regime,capacity,best_simple_policy,best_simple_cost,oracle_cost,absolute_gap,headroom,headroom_ci_low,headroom_ci_high,absolute_gap_ci_low,absolute_gap_ci_high,mean_sequence_absolute_gap,median_sequence_absolute_gap,paired_standardized_effect,sequences,normalized_frequency_entropy_mean,top_10_traffic_share_mean,gini_mean,consecutive_jaccard_mean,reuse_within_10_events,activity_lag1_autocorrelation_mean,adjacent_segment_js_mean,pairwise_domain_js_mean
general_to_math,abrupt,32,lfu_decay(alpha=0.90),13204.0,6799.0,6405.0,0.4850802787034232,0.43794716603485295,0.5170382272506674,5762.875,7017.175,400.3125,396.5,4.218891836588085,16,0.9505720936677872,0.34722900390625,0.34097814559936523,0.2857618327530265,0.8244694867701083,0.3231409001956947,0.15374376881548596,0.15374376881548596
math_to_reasoning,abrupt,8,lru,39107.0,39107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.9260727604369106,0.3937835693359375,0.41879892349243164,0.2829829498616191,0.8161781800709869,0.3189299692479731,0.11003296992083297,0.11003296992083297
math_to_reasoning,abrupt,12,lfu_decay(alpha=0.90),32131.0,25952.0,6179.0,0.19230649528492733,0.18280610957754934,0.20238029292503382,5835.95,6536.05,386.1875,408.5,7.280214987145408,16,0.9260727604369106,0.3937835693359375,0.41879892349243164,0.2829829498616191,0.8161781800709869,0.3189299692479731,0.11003296992083297,0.11003296992083297
math_to_reasoning,abrupt,16,lfu_decay(alpha=0.90),27210.0,19478.0,7732.0,0.2841602352076443,0.26658875301880663,0.300430191626333,7164.85,8262.075,483.25,490.5,6.526711635802088,16,0.9260727604369106,0.3937835693359375,0.41879892349243164,0.2829829498616191,0.8161781800709869,0.3189299692479731,0.11003296992083297,0.11003296992083297
math_to_reasoning,abrupt,24,lfu,19492.0,11821.0,7671.0,0.39354607018263904,0.36355531504636357,0.4107907903301294,6837.675,8146.224999999999,479.4375,477.0,3.682262541054083,16,0.9260727604369106,0.3937835693359375,0.41879892349243164,0.2829829498616191,0.8161781800709869,0.3189299692479731,0.11003296992083297,0.11003296992083297
math_to_reasoning,abrupt,32,lfu,12945.0,7111.0,5834.0,0.45067593665507916,0.40127018668069797,0.48869340389714344,5153.8,6421.05,364.625,365.0,3.4030493517133653,16,0.9260727604369106,0.3937835693359375,0.41879892349243164,0.2829829498616191,0.8161781800709869,0.3189299692479731,0.11003296992083297,0.11003296992083297
mixed_interleaved,mixed,8,lru,75409.0,75409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.9474024396420446,0.36660003662109375,0.3528456687927246,0.2997673921061018,0.8174827755905512,0.34296013126658287,,0.21981988738368194
mixed_interleaved,mixed,12,lfu_decay(alpha=0.90),60799.0,48225.0,12574.0,0.2068126120495403,0.19922588284764986,0.21412011265922445,11991.95,13079.125,392.9375,382.5,5.710148445151165,32,0.9474024396420446,0.36660003662109375,0.3528456687927246,0.2997673921061018,0.8174827755905512,0.34296013126658287,,0.21981988738368194
mixed_interleaved,mixed,16,lfu_decay(alpha=0.90),51122.0,35508.0,15614.0,0.3054262352803098,0.2939468058481655,0.3159276447003235,14870.875,16319.175,487.9375,487.0,4.608214929114868,32,0.9474024396420446,0.36660003662109375,0.3528456687927246,0.2997673921061018,0.8174827755905512,0.34296013126658287,,0.21981988738368194
mixed_interleaved,mixed,24,lfu_decay(alpha=0.90),36647.0,21307.0,15340.0,0.41858815182688897,0.40259830379289596,0.4314710618103742,14464.725,16212.125,479.375,484.0,3.8340561962652235,32,0.9474024396420446,0.36660003662109375,0.3528456687927246,0.2997673921061018,0.8174827755905512,0.34296013126658287,,0.21981988738368194
mixed_interleaved,mixed,32,lfu_decay(alpha=0.90),25485.0,13052.0,12433.0,0.4878556013341181,0.4593303877290192,0.506420959104523,11585.75,13241.1,388.53125,393.0,3.2126837385515095,32,0.9474024396420446,0.36660003662109375,0.3528456687927246,0.2997673921061018,0.8174827755905512,0.34296013126658287,,0.21981988738368194
repeated_domain_cycle,repeated,8,lru,23949.0,23949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.9593948490250301,0.3259521484375,0.30899200439453123,0.29450193223704196,0.8277787515336655,0.33326802507836983,0.29387912092707313,0.2799578478655731
repeated_domain_cycle,repeated,12,lfu_decay(alpha=0.90),19545.0,15750.0,3795.0,0.19416730621642364,0.18362245663150528,0.20566694926222245,3630.0,3961.025,379.5,405.5,5.803803255005648,10,0.9593948490250301,0.3259521484375,0.30899200439453123,0.29450193223704196,0.8277787515336655,0.33326802507836983,0.29387912092707313,0.2799578478655731
