layer,layer_ordinal,layer_name,expert_id,specialization_metric,specialization_score,absolute_normalized_range,rank_range,max_domain,min_domain,max_normalized_importance,min_normalized_importance,minimum_was_zero,general_normalized_contribution,general_rank,general_percentile,math_normalized_contribution,math_rank,math_percentile,coding_normalized_contribution,coding_rank,coding_percentile,reasoning_normalized_contribution,reasoning_rank,reasoning_percentile
2,2,model.layers.2.mlp,60,functional_contribution,13.341658061372522,0.056743389270013135,31.0,coding,reasoning,0.06134110126101939,0.004597711991006256,False,0.005576088638319268,34.0,0.47619047619047616,0.01653004746190279,7.0,0.9047619047619048,0.06134110126101939,3.0,0.9682539682539683,0.004597711991006256,32.0,0.5079365079365079
3,3,model.layers.3.mlp,25,functional_contribution,282.824129581424,0.03366650060454392,59.0,general,coding,0.03378595985869906,0.00011945925415514477,False,0.03378595985869906,3.0,0.9682539682539683,0.003213457795662465,51.0,0.20634920634920634,0.00011945925415514477,62.0,0.031746031746031744,0.0030871624803757666,52.0,0.19047619047619047
3,3,model.layers.3.mlp,58,functional_contribution,272.2596062828844,0.01846559493785217,48.0,general,coding,0.018533668452075793,6.807351422362394e-05,False,0.018533668452075793,16.0,0.7619047619047619,0.0035802467496458216,48.0,0.25396825396825395,6.807351422362394e-05,64.0,0.0,0.010117488658094299,35.0,0.4603174603174603
3,3,model.layers.3.mlp,1,functional_contribution,251.11227642289154,0.029701279402902063,54.0,reasoning,coding,0.029820031187410917,0.00011875178450885259,False,0.007505457151718988,49.0,0.23809523809523808,0.011080682742551388,30.0,0.5396825396825397,0.00011875178450885259,63.0,0.015873015873015872,0.029820031187410917,9.0,0.873015873015873
3,3,model.layers.3.mlp,43,functional_contribution,147.672813946211,0.12107305630027788,62.0,coding,reasoning,0.12189851981254135,0.0008254635122634652,False,0.0022539795958329474,63.0,0.015873015873015872,0.0055828609552117485,44.0,0.31746031746031744,0.12189851981254135,1.0,1.0,0.0008254635122634652,63.0,0.015873015873015872
3,3,model.layers.3.mlp,48,functional_contribution,59.50394085148796,0.029680341751467994,56.0,general,coding,0.030187663843979806,0.0005073220925118103,False,0.030187663843979806,4.0,0.9523809523809523,0.00687734087208934,42.0,0.3492063492063492,0.0005073220925118103,60.0,0.06349206349206349,0.004993647398325302,48.0,0.25396825396825395
3,3,model.layers.3.mlp,16,functional_contribution,43.220714172854436,0.010067250312719834,28.0,general,reasoning,0.010305693704020206,0.00023844339130037266,False,0.010305693704020206,36.0,0.4444444444444444,0.0027617517301562434,54.0,0.15873015873015872,0.002657728985235499,45.0,0.30158730158730157,0.00023844339130037266,64.0,0.0
3,3,model.layers.3.mlp,15,functional_contribution,41.80471368444698,0.11361636409489798,60.0,coding,general,0.11640075721508299,0.002784393120185009,False,0.002784393120185009,62.0,0.031746031746031744,0.0035261219949083208,49.0,0.23809523809523808,0.11640075721508299,2.0,0.9841269841269841,0.0052632316028528815,45.0,0.30158730158730157
3,3,model.layers.3.mlp,0,functional_contribution,33.43151543376006,0.038503682231391875,52.0,reasoning,coding,0.03969091266709576,0.001187230435703889,False,0.024765335361710245,6.0,0.9206349206349206,0.012330269873230552,26.0,0.6031746031746031,0.001187230435703889,55.0,0.14285714285714285,0.03969091266709576,3.0,0.9682539682539683
3,3,model.layers.3.mlp,24,functional_contribution,33.13445381227365,0.04105587544858426,56.0,general,reasoning,0.04233350336957816,0.0012776279209939037,False,0.04233350336957816,2.0,0.9841269841269841,0.00293034920679841,53.0,0.1746031746031746,0.002168161533247268,51.0,0.20634920634920634,0.0012776279209939037,58.0,0.09523809523809523
