domain,layer,layer_ordinal,layer_name,expert_id,routing_frequency,routing_rank,gate_mass,gate_rank,functional_contribution,functional_rank,normalized_routing,normalized_gate,normalized_contribution
general,1,1,model.layers.1.mlp,39,0.016078838174273857,26.0,0.0053024608564574685,30.0,0.004249642591506119,33.0,0.016078838174273857,0.01605694821352359,0.010606419683423607
general,1,1,model.layers.1.mlp,40,0.025155601659751038,5.0,0.008081459900155602,7.0,0.007797101628483578,8.0,0.025155601659751038,0.02447233211508515,0.019460302932603316
general,1,1,model.layers.1.mlp,41,0.01996887966804979,15.0,0.005750220840897303,22.0,0.005048460052715792,22.0,0.01996887966804979,0.017412858059323355,0.012600138698987682
general,1,1,model.layers.1.mlp,42,0.020228215767634856,14.0,0.005921676445798755,20.0,0.004740378977846803,29.0,0.020228215767634856,0.01793206109416863,0.011831218229508233
general,1,1,model.layers.1.mlp,43,0.011670124481327801,42.0,0.00418964560101141,37.0,0.005005610519363178,23.0,0.011670124481327801,0.0126871134496977,0.012493193203174678
general,1,1,model.layers.1.mlp,44,0.01970954356846473,16.5,0.006777434922847511,16.0,0.005660566366065093,17.0,0.01970954356846473,0.02052347476439341,0.014127856927158714
general,1,1,model.layers.1.mlp,45,0.020487551867219917,13.0,0.005710712606976141,24.0,0.006041629433137252,14.0,0.020487551867219917,0.0172932189552822,0.01507892862982336
general,1,1,model.layers.1.mlp,46,0.008039419087136929,60.0,0.003437976124870332,49.0,0.003300104247738464,39.0,0.008039419087136929,0.01041090280358135,0.0082365257540771
general,1,1,model.layers.1.mlp,47,0.04771784232365145,1.0,0.017157210353993774,1.0,0.014106051061163305,4.0,0.04771784232365145,0.05195558168187272,0.03520641898910277
general,1,1,model.layers.1.mlp,48,0.00907676348547718,56.0,0.0038961196836099585,41.0,0.0033590146862125,37.0,0.00907676348547718,0.0117982562600586,0.008383556668027132
general,1,1,model.layers.1.mlp,49,0.010632780082987552,47.5,0.0030117430627593362,52.0,0.0024065080087214584,51.0,0.010632780082987552,0.009120180931137343,0.006006254258425457
general,1,1,model.layers.1.mlp,50,0.016338174273858922,25.0,0.005476449040456431,28.0,0.004620688522999712,31.0,0.016338174273858922,0.016583820421704833,0.011532490237948315
general,1,1,model.layers.1.mlp,51,0.01504149377593361,28.5,0.00555533887934388,27.0,0.004672696203364376,30.0,0.01504149377593361,0.01682271517112035,0.01166229298555149
general,1,1,model.layers.1.mlp,52,0.012966804979253113,38.0,0.0034716594268672197,48.0,0.0026552083272162316,49.0,0.012966804979253113,0.010512902808949771,0.006626969976643494
general,1,1,model.layers.1.mlp,53,0.016597510373443983,24.0,0.007177582420254149,12.0,0.005464275131829052,21.0,0.016597510373443983,0.021735204151476912,0.013637945795656525
general,1,1,model.layers.1.mlp,54,0.01711618257261411,22.5,0.005439220127723029,29.0,0.004918982070016663,25.0,0.01711618257261411,0.016471083573666053,0.01227698262298852
general,1,1,model.layers.1.mlp,55,0.01815352697095436,19.5,0.006014368840767635,19.0,0.006950334270960068,12.0,0.01815352697095436,0.01821275283826519,0.01734690874127323
general,1,1,model.layers.1.mlp,56,0.009595435684647304,53.5,0.002726068140560166,55.0,0.0021911802357719645,53.0,0.009595435684647304,0.008255098178839754,0.00546883100924114
general,1,1,model.layers.1.mlp,57,0.01711618257261411,22.5,0.007273567168049793,11.0,0.00958929220175842,5.0,0.01711618257261411,0.02202586582091023,0.02393332036019165
general,1,1,model.layers.1.mlp,58,0.012448132780082987,40.0,0.004206867138874481,36.0,0.003220531115640743,44.0,0.012448132780082987,0.012739263828382306,0.008037924103143012
general,1,1,model.layers.1.mlp,59,0.02437759336099585,6.0,0.0071292101594917015,13.0,0.008074283970836782,6.0,0.02437759336099585,0.021588722940759853,0.02015210516973934
general,1,1,model.layers.1.mlp,60,0.008298755186721992,58.5,0.0019343839146784233,60.0,0.001428331561479331,60.0,0.008298755186721992,0.005857714594015054,0.0035648842607162432
general,1,1,model.layers.1.mlp,61,0.018931535269709542,18.0,0.0073166210127074685,10.0,0.0072347301356030696,11.0,0.018931535269709542,0.022156241767621748,0.01805671476182254
general,1,1,model.layers.1.mlp,62,0.015819502074688796,27.0,0.004687297393672199,33.0,0.003262677133330666,41.0,0.015819502074688796,0.014194106010216105,0.00814311373779553
general,1,1,model.layers.1.mlp,63,0.009854771784232365,52.0,0.002456601724585062,59.0,0.0017016777745544663,58.0,0.009854771784232365,0.007439098135892383,0.004247112140431159
