bit_width,intervention_id,pair_id,role,target_domain,layer,expert_id,domain,is_target_domain,examples,evaluated_tokens,baseline_nll,quantized_nll,delta_nll,delta_nll_ci_low,delta_nll_ci_high,normalized_relative_delta_nll,relative_delta_percent,positive_delta_example_fraction,routing_coverage,routing_frequency,functional_importance,functional_rank,quantization_distortion,risk_functional,risk_routing,effective_bits_per_weight,projected_bytes,compression_ratio_vs_bf16,bootstrap_replicates
4,specialist_general_L12_E40,general_L12_E40,specialist,general,12,40,coding,False,100,6400,1.7902204298973083,1.7901311445236205,-8.928537368774414e-05,-0.00026274588704109194,9.478470683097833e-05,-4.987395529435768e-05,-0.004987395529435768,0.25,0.02421875,0.00302734375,0.0009340867540273625,50.0,0.013944405761041914,1.3025284714172094e-05,4.221450962815423e-05,4.125,3244032,3.878787878787879,1000
4,specialist_general_L12_E40,general_L12_E40,specialist,general,12,40,reasoning,False,100,6400,1.9561886489391327,1.9563400220870972,0.00015137314796447753,-0.00013094714283943176,0.0004512864649295807,7.738167177617006e-05,0.007738167177617007,0.27,0.05625,0.00703125,0.005462904761340173,43.0,0.013944405761041914,7.617696062605521e-05,9.804660300732596e-05,4.125,3244032,3.878787878787879,1000
4,control_general_L12_E40_L12_E2,general_L12_E40,control,general,12,2,general,True,100,6400,2.991833852529526,2.991697517633438,-0.0001363348960876465,-0.0008103634119033813,0.00047236332297325134,-4.5569006438101005e-05,-0.004556900643810101,0.41,0.221875,0.027734375,0.03132404226999431,3.0,0.014107349103766688,0.00044189919964395403,0.0003912585102997792,4.125,3244032,3.878787878787879,1000
4,control_general_L12_E40_L12_E2,general_L12_E40,control,general,12,2,math,False,100,6400,2.2662287080287933,2.265507265329361,-0.000721442699432373,-0.0015702990293502807,0.00011207172274589539,-0.000318345053558119,-0.0318345053558119,0.42,0.70078125,0.08759765625,0.10176337403640683,1.0,0.014107349103766688,0.0014356114435087781,0.0012357707173904998,4.125,3244032,3.878787878787879,1000
4,control_general_L12_E40_L12_E2,general_L12_E40,control,general,12,2,coding,False,100,6400,1.7902204298973083,1.7903117847442627,9.135484695434571e-05,-0.0004467628002166748,0.0005929659307003021,5.102994325653297e-05,0.005102994325653297,0.53,0.39875,0.04984375,0.03480311886286061,9.0,0.014107349103766688,0.0004909797476982621,0.0007031631818908709,4.125,3244032,3.878787878787879,1000
4,control_general_L12_E40_L12_E2,general_L12_E40,control,general,12,2,reasoning,False,100,6400,1.9561886489391327,1.9562104511260987,2.180218696594238e-05,-0.00039515697956085205,0.00045273500680923434,1.1145237437997607e-05,0.0011145237437997608,0.49,0.1940625,0.0242578125,0.019494837154712067,14.0,0.014107349103766688,0.0002750204734626048,0.00034221342943121537,4.125,3244032,3.878787878787879,1000
4,specialist_math_L8_E11,math_L8_E11,specialist,math,8,11,general,False,100,6400,2.991833852529526,2.991901706457138,6.785392761230469e-05,-0.0003890483975410461,0.0005618518888950347,2.267971115940672e-05,0.002267971115940672,0.4,0.1246875,0.0155859375,0.013908569191521416,34.0,0.013968837810186685,0.000194286547208122,0.00021771743305720655,4.125,3244032,3.878787878787879,1000
4,specialist_math_L8_E11,math_L8_E11,specialist,math,8,11,math,True,100,6400,2.2662287080287933,2.2656754064559936,-0.0005533015727996827,-0.0014798656105995177,0.00039154106378555255,-0.00024415080915683675,-0.024415080915683673,0.48,0.6609375,0.0826171875,0.11533557248750632,1.0,0.013968837810186685,0.0016111039058230054,0.0011540660925212828,4.125,3244032,3.878787878787879,1000
4,specialist_math_L8_E11,math_L8_E11,specialist,math,8,11,coding,False,100,6400,1.7902204298973083,1.7901278460025787,-9.258389472961426e-05,-0.0006564822196960449,0.0004905224442481992,-5.1716477581995365e-05,-0.005171647758199537,0.34,0.12703125,0.01587890625,0.009744648548223432,20.0,0.013968837810186685,0.00013612141508740426,0.0002218098660094097,4.125,3244032,3.878787878787879,1000
4,specialist_math_L8_E11,math_L8_E11,specialist,math,8,11,reasoning,False,100,6400,1.9561886489391327,1.956078290939331,-0.00011035799980163574,-0.0007524732947349549,0.0005567322671413422,-5.641480429890254e-05,-0.005641480429890254,0.48,0.27046875,0.03380859375,0.029044676310327526,7.0,0.013968837810186685,0.00040572037262833665,0.0004722667626842412,4.125,3244032,3.878787878787879,1000
4,control_math_L8_E11_L8_E54,math_L8_E11,control,math,8,54,general,False,100,6400,2.991833852529526,2.9925013411045076,0.0006674885749816895,-4.532614350318909e-05,0.0013801152706146237,0.00022310349032829595,0.022310349032829593,0.56,0.09015625,0.01126953125,0.007354809971887816,47.0,0.014220725736186273,0.00010459073545198451,0.00016026091308163045,4.125,3244032,3.878787878787879,1000
4,control_math_L8_E11_L8_E54,math_L8_E11,control,math,8,54,math,True,100,6400,2.2662287080287933,2.2659339332580566,-0.00029477477073669434,-0.0009494534432888031,0.0003889560997486114,-0.00013007282525914817,-0.013007282525914817,0.47,0.5059375,0.0632421875,0.047658737879294574,3.0,0.014220725736186273,0.00067774184031424,0.0008993498033939679,4.125,3244032,3.878787878787879,1000
4,control_math_L8_E11_L8_E54,math_L8_E11,control,math,8,54,coding,False,100,6400,1.7902204298973083,1.7911861753463745,0.0009657454490661621,-0.0005380057692527771,0.0022307757139205923,0.0005394561658094583,0.05394561658094583,0.59,0.954375,0.119296875,0.16832920737786608,1.0,0.014220725736186273,0.0023937634915102567,0.0016964881405590968,4.125,3244032,3.878787878787879,1000
4,control_math_L8_E11_L8_E54,math_L8_E11,control,math,8,54,reasoning,False,100,6400,1.9561886489391327,1.9562601387500762,7.148981094360352e-05,-0.0005432998836040498,0.0006026064753532409,3.654545842619698e-05,0.0036545458426196988,0.5,0.2121875,0.0265234375,0.015487712013943233,28.0,0.014220725736186273,0.00022024650483132386,0.00037718253026837814,4.125,3244032,3.878787878787879,1000
4,specialist_math_L12_E63,math_L12_E63,specialist,math,12,63,general,False,100,6400,2.991833852529526,2.9919904148578644,0.00015656232833862304,-0.00020505517721176148,0.0005352917909622192,5.2329887305156744e-05,0.005232988730515675,0.37,0.069375,0.008671875,0.00681277068870678,54.0,0.014013641711950582,9.547172749721563e-05,0.00012152454922082146,4.125,3244032,3.878787878787879,1000
4,specialist_math_L12_E63,math_L12_E63,specialist,math,12,63,math,True,100,6400,2.2662287080287933,2.2659535229206087,-0.00027518510818481446,-0.0009519580006599426,0.0003885057568550107,-0.0001214286568738137,-0.01214286568738137,0.42,0.480625,0.060078125,0.06835945475256952,2.0,0.014013641711950582,0.0009579649065268067,0.0008419133184757811,4.125,3244032,3.878787878787879,1000
4,specialist_math_L12_E63,math_L12_E63,specialist,math,12,63,coding,False,100,6400,1.7902204298973083,1.790224153995514,3.724098205566406e-06,0.0,1.1172294616699219e-05,2.0802456185688988e-06,0.00020802456185688988,0.01,0.00015625,1.953125e-05,5.189770367889208e-06,62.0,0.014013641711950582,7.272758250289732e-08,2.7370393968653483e-07,4.125,3244032,3.878787878787879,1000
4,specialist_math_L12_E63,math_L12_E63,specialist,math,12,63,reasoning,False,100,6400,1.9561886489391327,1.9559897911548614,-0.00019885778427124025,-0.0005272382497787476,0.00012515330314636226,-0.00010165572956324201,-0.010165572956324202,0.25,0.0359375,0.0044921875,0.003378898472218922,50.0,0.014013641711950582,4.735067257073318e-05,6.2951906127903e-05,4.125,3244032,3.878787878787879,1000
4,control_math_L12_E63_L12_E43,math_L12_E63,control,math,12,43,general,False,100,6400,2.991833852529526,2.9919880378246306,0.00015418529510498048,-0.0003446815013885498,0.0006562360525131226,5.1535380206564746e-05,0.005153538020656475,0.53,0.10453125,0.01306640625,0.013181742957155781,34.0,0.01400081345161828,0.00018455512411032118,0.00018294031638930918,4.125,3244032,3.878787878787879,1000
4,control_math_L12_E63_L12_E43,math_L12_E63,control,math,12,43,math,True,100,6400,2.2662287080287933,2.2658198606967925,-0.0004088473320007324,-0.0010167413353919983,0.00017584136128425567,-0.00018040868097393188,-0.01804086809739319,0.49,0.5128125,0.0641015625,0.05628832831566035,3.0,0.01400081345161828,0.0007880823842510036,0.00089747401851975,4.125,3244032,3.878787878787879,1000
4,control_math_L12_E63_L12_E43,math_L12_E63,control,math,12,43,coding,False,100,6400,1.7902204298973083,1.7888249886035918,-0.0013954412937164306,-0.002608138233423233,-0.00016442129015922593,-0.0007794801525064021,-0.07794801525064021,0.4,0.81609375,0.10201171875,0.14927710947354794,1.0,0.01400081345161828,0.0020900009623359447,0.0014282470440977006,4.125,3244032,3.878787878787879,1000
4,control_math_L12_E63_L12_E43,math_L12_E63,control,math,12,43,reasoning,False,100,6400,1.9561886489391327,1.956071902513504,-0.00011674642562866211,-0.0007687326669692993,0.0005539331436157223,-5.9680555703037776e-05,-0.005968055570303777,0.48,0.606875,0.075859375,0.08600241944715464,2.0,0.01400081345161828,0.0012041038310674403,0.0010620929579313555,4.125,3244032,3.878787878787879,1000
4,specialist_coding_L13_E2,coding_L13_E2,specialist,coding,13,2,general,False,100,6400,2.991833852529526,2.991158689260483,-0.0006751632690429688,-0.0012578067779541015,-2.7449429035186773e-05,-0.00022566870432064065,-0.022566870432064064,0.42,0.0365625,0.0045703125,0.0027755881159287235,59.0,0.014222554903027563,3.94759543669871e-05,6.500152045524315e-05,4.125,3244032,3.878787878787879,1000
4,specialist_coding_L13_E2,coding_L13_E2,specialist,coding,13,2,math,False,100,6400,2.2662287080287933,2.265913838148117,-0.00031486988067626955,-0.00089798703789711,0.00025842151045799233,-0.0001389400282331385,-0.01389400282331385,0.45,0.0628125,0.0078515625,0.0037863121758635316,50.0,0.014222554903027563,5.385103280122083e-05,0.00011166927873080233,4.125,3244032,3.878787878787879,1000
4,specialist_coding_L13_E2,coding_L13_E2,specialist,coding,13,2,coding,True,100,6400,1.7902204298973083,1.7905197775363921,0.0002993476390838623,-0.0009436659812927246,0.0019941762685775754,0.00016721272648029923,0.016721272648029924,0.44,0.8871875,0.1108984375,0.20227750448513132,1.0,0.014222554903027563,0.002876902913187184,0.0015772591160037206,4.125,3244032,3.878787878787879,1000
