workload,regime,capacity,layer,stage3_misses
coding_to_general,abrupt,24,15,26387
coding_to_general,abrupt,32,0,32952
coding_to_general,abrupt,32,1,34965
coding_to_general,abrupt,32,2,24867
coding_to_general,abrupt,32,3,23702
coding_to_general,abrupt,32,4,14490
coding_to_general,abrupt,32,5,11676
coding_to_general,abrupt,32,6,11055
coding_to_general,abrupt,32,7,13071
coding_to_general,abrupt,32,8,15056
coding_to_general,abrupt,32,9,17864
coding_to_general,abrupt,32,10,21539
coding_to_general,abrupt,32,11,16653
coding_to_general,abrupt,32,12,17135
coding_to_general,abrupt,32,13,16750
coding_to_general,abrupt,32,14,17692
coding_to_general,abrupt,32,15,14696
general_to_math,abrupt,8,0,110897
general_to_math,abrupt,8,1,112476
general_to_math,abrupt,8,2,99410
general_to_math,abrupt,8,3,96833
general_to_math,abrupt,8,4,79681
general_to_math,abrupt,8,5,80136
general_to_math,abrupt,8,6,79275
general_to_math,abrupt,8,7,81650
general_to_math,abrupt,8,8,83889
general_to_math,abrupt,8,9,91157
general_to_math,abrupt,8,10,100065
general_to_math,abrupt,8,11,89287
general_to_math,abrupt,8,12,94744
general_to_math,abrupt,8,13,98471
general_to_math,abrupt,8,14,103122
general_to_math,abrupt,8,15,98495
general_to_math,abrupt,12,0,86703
general_to_math,abrupt,12,1,91369
general_to_math,abrupt,12,2,77123
general_to_math,abrupt,12,3,73642
general_to_math,abrupt,12,4,58015
general_to_math,abrupt,12,5,58078
general_to_math,abrupt,12,6,54338
general_to_math,abrupt,12,7,59283
general_to_math,abrupt,12,8,63089
general_to_math,abrupt,12,9,69062
general_to_math,abrupt,12,10,77180
general_to_math,abrupt,12,11,66988
general_to_math,abrupt,12,12,72079
general_to_math,abrupt,12,13,74157
general_to_math,abrupt,12,14,79124
general_to_math,abrupt,12,15,74025
general_to_math,abrupt,16,0,72505
general_to_math,abrupt,16,1,77455
general_to_math,abrupt,16,2,63395
general_to_math,abrupt,16,3,59767
general_to_math,abrupt,16,4,45131
general_to_math,abrupt,16,5,44705
general_to_math,abrupt,16,6,41054
general_to_math,abrupt,16,7,45776
general_to_math,abrupt,16,8,50203
general_to_math,abrupt,16,9,55477
general_to_math,abrupt,16,10,63460
general_to_math,abrupt,16,11,53578
general_to_math,abrupt,16,12,57771
general_to_math,abrupt,16,13,59331
general_to_math,abrupt,16,14,63654
general_to_math,abrupt,16,15,58886
general_to_math,abrupt,24,0,50349
general_to_math,abrupt,24,1,55426
general_to_math,abrupt,24,2,43089
general_to_math,abrupt,24,3,39121
general_to_math,abrupt,24,4,27181
general_to_math,abrupt,24,5,26446
general_to_math,abrupt,24,6,23179
general_to_math,abrupt,24,7,27437
general_to_math,abrupt,24,8,31562
general_to_math,abrupt,24,9,36456
general_to_math,abrupt,24,10,43511
general_to_math,abrupt,24,11,35040
general_to_math,abrupt,24,12,37979
general_to_math,abrupt,24,13,38743
general_to_math,abrupt,24,14,42156
general_to_math,abrupt,24,15,37656
general_to_math,abrupt,32,0,33050
general_to_math,abrupt,32,1,38026
general_to_math,abrupt,32,2,27840
general_to_math,abrupt,32,3,24025
general_to_math,abrupt,32,4,15269
general_to_math,abrupt,32,5,14038
general_to_math,abrupt,32,6,11876
general_to_math,abrupt,32,7,15050
general_to_math,abrupt,32,8,18516
general_to_math,abrupt,32,9,22625
general_to_math,abrupt,32,10,28308
general_to_math,abrupt,32,11,21447
general_to_math,abrupt,32,12,23500
general_to_math,abrupt,32,13,24300
general_to_math,abrupt,32,14,26645
general_to_math,abrupt,32,15,22305
math_to_reasoning,abrupt,8,0,114594
math_to_reasoning,abrupt,8,1,114657
math_to_reasoning,abrupt,8,2,103808
math_to_reasoning,abrupt,8,3,102425
math_to_reasoning,abrupt,8,4,81741
math_to_reasoning,abrupt,8,5,84738
math_to_reasoning,abrupt,8,6,84511
math_to_reasoning,abrupt,8,7,86982
math_to_reasoning,abrupt,8,8,85060
math_to_reasoning,abrupt,8,9,92353
math_to_reasoning,abrupt,8,10,101641
math_to_reasoning,abrupt,8,11,91964
math_to_reasoning,abrupt,8,12,97259
math_to_reasoning,abrupt,8,13,105096
math_to_reasoning,abrupt,8,14,108088
math_to_reasoning,abrupt,8,15,103664
math_to_reasoning,abrupt,12,0,87005
math_to_reasoning,abrupt,12,1,91649
math_to_reasoning,abrupt,12,2,81815
math_to_reasoning,abrupt,12,3,78206
math_to_reasoning,abrupt,12,4,59600
math_to_reasoning,abrupt,12,5,62458
math_to_reasoning,abrupt,12,6,58032
math_to_reasoning,abrupt,12,7,62947
math_to_reasoning,abrupt,12,8,63513
math_to_reasoning,abrupt,12,9,68787
math_to_reasoning,abrupt,12,10,78227
math_to_reasoning,abrupt,12,11,67533
math_to_reasoning,abrupt,12,12,74025
math_to_reasoning,abrupt,12,13,79567
math_to_reasoning,abrupt,12,14,83584
math_to_reasoning,abrupt,12,15,78525
math_to_reasoning,abrupt,16,0,71929
math_to_reasoning,abrupt,16,1,77993
math_to_reasoning,abrupt,16,2,67830
math_to_reasoning,abrupt,16,3,63155
math_to_reasoning,abrupt,16,4,46809
math_to_reasoning,abrupt,16,5,48340
math_to_reasoning,abrupt,16,6,43853
math_to_reasoning,abrupt,16,7,48989
math_to_reasoning,abrupt,16,8,50667
math_to_reasoning,abrupt,16,9,54920
math_to_reasoning,abrupt,16,10,64353
math_to_reasoning,abrupt,16,11,53546
math_to_reasoning,abrupt,16,12,59290
math_to_reasoning,abrupt,16,13,64357
math_to_reasoning,abrupt,16,14,68447
math_to_reasoning,abrupt,16,15,62950
math_to_reasoning,abrupt,24,0,49786
math_to_reasoning,abrupt,24,1,56387
math_to_reasoning,abrupt,24,2,46663
math_to_reasoning,abrupt,24,3,41711
math_to_reasoning,abrupt,24,4,29464
math_to_reasoning,abrupt,24,5,29125
math_to_reasoning,abrupt,24,6,25056
math_to_reasoning,abrupt,24,7,28832
math_to_reasoning,abrupt,24,8,32153
math_to_reasoning,abrupt,24,9,35634
math_to_reasoning,abrupt,24,10,44355
math_to_reasoning,abrupt,24,11,34836
math_to_reasoning,abrupt,24,12,39404
math_to_reasoning,abrupt,24,13,43318
math_to_reasoning,abrupt,24,14,46292
math_to_reasoning,abrupt,24,15,41614
math_to_reasoning,abrupt,32,0,32715
math_to_reasoning,abrupt,32,1,38701
math_to_reasoning,abrupt,32,2,30607
math_to_reasoning,abrupt,32,3,25856
math_to_reasoning,abrupt,32,4,17275
math_to_reasoning,abrupt,32,5,15877
math_to_reasoning,abrupt,32,6,12941
math_to_reasoning,abrupt,32,7,15939
math_to_reasoning,abrupt,32,8,18559
math_to_reasoning,abrupt,32,9,21770
math_to_reasoning,abrupt,32,10,28930
math_to_reasoning,abrupt,32,11,21316
math_to_reasoning,abrupt,32,12,24657
math_to_reasoning,abrupt,32,13,27971
math_to_reasoning,abrupt,32,14,29587
math_to_reasoning,abrupt,32,15,25822
repeated_domain_cycle,repeated,8,0,70252
repeated_domain_cycle,repeated,8,1,69432
repeated_domain_cycle,repeated,8,2,62263
repeated_domain_cycle,repeated,8,3,61986
repeated_domain_cycle,repeated,8,4,50862
repeated_domain_cycle,repeated,8,5,49925
repeated_domain_cycle,repeated,8,6,50857
repeated_domain_cycle,repeated,8,7,50750
repeated_domain_cycle,repeated,8,8,51669
repeated_domain_cycle,repeated,8,9,55414
repeated_domain_cycle,repeated,8,10,61590
repeated_domain_cycle,repeated,8,11,55438
repeated_domain_cycle,repeated,8,12,58736
repeated_domain_cycle,repeated,8,13,61590
repeated_domain_cycle,repeated,8,14,63716
repeated_domain_cycle,repeated,8,15,62115
repeated_domain_cycle,repeated,12,0,54318
repeated_domain_cycle,repeated,12,1,55340
repeated_domain_cycle,repeated,12,2,47510
repeated_domain_cycle,repeated,12,3,46575
repeated_domain_cycle,repeated,12,4,36645
repeated_domain_cycle,repeated,12,5,35473
repeated_domain_cycle,repeated,12,6,34680
repeated_domain_cycle,repeated,12,7,36145
repeated_domain_cycle,repeated,12,8,38189
repeated_domain_cycle,repeated,12,9,41165
repeated_domain_cycle,repeated,12,10,46219
repeated_domain_cycle,repeated,12,11,40578
repeated_domain_cycle,repeated,12,12,43826
repeated_domain_cycle,repeated,12,13,45770
repeated_domain_cycle,repeated,12,14,47408
repeated_domain_cycle,repeated,12,15,45915
repeated_domain_cycle,repeated,16,0,45065
repeated_domain_cycle,repeated,16,1,46870
repeated_domain_cycle,repeated,16,2,39022
repeated_domain_cycle,repeated,16,3,37523
repeated_domain_cycle,repeated,16,4,28330
repeated_domain_cycle,repeated,16,5,26985
repeated_domain_cycle,repeated,16,6,26057
repeated_domain_cycle,repeated,16,7,27641
repeated_domain_cycle,repeated,16,8,30144
repeated_domain_cycle,repeated,16,9,32826
repeated_domain_cycle,repeated,16,10,37386
repeated_domain_cycle,repeated,16,11,31823
repeated_domain_cycle,repeated,16,12,34554
repeated_domain_cycle,repeated,16,13,36176
repeated_domain_cycle,repeated,16,14,37658
repeated_domain_cycle,repeated,16,15,35508
repeated_domain_cycle,repeated,24,0,31291
repeated_domain_cycle,repeated,24,1,33579
repeated_domain_cycle,repeated,24,2,26574
repeated_domain_cycle,repeated,24,3,24710
repeated_domain_cycle,repeated,24,4,17372
repeated_domain_cycle,repeated,24,5,15799
repeated_domain_cycle,repeated,24,6,14745
repeated_domain_cycle,repeated,24,7,16522
repeated_domain_cycle,repeated,24,8,18866
repeated_domain_cycle,repeated,24,9,21263
repeated_domain_cycle,repeated,24,10,25097
repeated_domain_cycle,repeated,24,11,20260
repeated_domain_cycle,repeated,24,12,22368
repeated_domain_cycle,repeated,24,13,23132
repeated_domain_cycle,repeated,24,14,24325
repeated_domain_cycle,repeated,24,15,21935
repeated_domain_cycle,repeated,32,0,20663
repeated_domain_cycle,repeated,32,1,23195
repeated_domain_cycle,repeated,32,2,17412
repeated_domain_cycle,repeated,32,3,15217
repeated_domain_cycle,repeated,32,4,9967
repeated_domain_cycle,repeated,32,5,8559
repeated_domain_cycle,repeated,32,6,7648
repeated_domain_cycle,repeated,32,7,9018
repeated_domain_cycle,repeated,32,8,10995
repeated_domain_cycle,repeated,32,9,13208
repeated_domain_cycle,repeated,32,10,16190
repeated_domain_cycle,repeated,32,11,12277
repeated_domain_cycle,repeated,32,12,13460
repeated_domain_cycle,repeated,32,13,14326
repeated_domain_cycle,repeated,32,14,15034
repeated_domain_cycle,repeated,32,15,13170
mixed_interleaved,mixed,8,0,225475
mixed_interleaved,mixed,8,1,220650
mixed_interleaved,mixed,8,2,200787
mixed_interleaved,mixed,8,3,202588
mixed_interleaved,mixed,8,4,161953
mixed_interleaved,mixed,8,5,161729
mixed_interleaved,mixed,8,6,163865
mixed_interleaved,mixed,8,7,164848
mixed_interleaved,mixed,8,8,162918
mixed_interleaved,mixed,8,9,174729
mixed_interleaved,mixed,8,10,196870
mixed_interleaved,mixed,8,11,174416
