source,method,method_label,regime,budget_fraction,budget_bytes,used_protection_bytes,protected_expert_count,effective_bits_per_weight,coverage_general,coverage_math,coverage_coding,coverage_reasoning,coverage_min,coverage_mean,predicted_max_residual_risk,allocation_sha256,file
stage2b_frozen,global_importance,Global-Importance,4to8,0.2,644245094,641728512,204,4.921875,0.09572000152871439,0.35558235277764993,0.8083845276118692,0.4705457421480606,0.09572000152871439,0.4325581560165735,,03b1ffe7adb044e52af5fa63a40a237cd59e2d9e52130771a9ce60de6bd2745d,global_importance_4to8_budget20.json
stage2b_frozen,general_only,General-Only,4to8,0.2,644245094,641728512,204,4.921875,0.638584537835638,0.17055977646612286,0.08364851057342108,0.10668577774937582,0.08364851057342108,0.24986965065613942,,7416ac1e46672e41baf01c044b15e4adbe6bde93c59d59f78f760f6812b1fa7f,general_only_4to8_budget20.json
stage2b_frozen,math_only,Math-Only,4to8,0.2,644245094,641728512,204,4.921875,0.02830173848990511,0.7615981973538104,0.18631175790896626,0.1791907008703403,0.02830173848990511,0.2888505986557555,,eb58656c997cb66d4646082a96f575ebc68c9f2b06b13c7f405a95853de36b09,math_only_4to8_budget20.json
stage2b_frozen,coding_only,Coding-Only,4to8,0.2,644245094,641728512,204,4.921875,0.014328007051402362,0.24068520624024536,0.9885541719914118,0.1637520866860201,0.014328007051402362,0.3518298679922699,,1a166db8043059944347d71a2ac31a964ec2d0cf3bd9cf0a6278231935b58bd3,coding_only_4to8_budget20.json
stage2b_frozen,reasoning_only,Reasoning-Only,4to8,0.2,644245094,641728512,204,4.921875,0.014200597784072004,0.2020950430422889,0.1669570604238735,0.747976678500593,0.014200597784072004,0.2828073449377069,,6bbfd00be350150d1eb704732b3f367b347577757ccede7ce5e709d3575c76ad,reasoning_only_4to8_budget20.json
stage2b_frozen,random_seed1001,Random (seed 1001),4to8,0.2,644245094,641728512,204,4.921875,0.17153437635549945,0.15842227545395457,0.18669581194281504,0.19420157285921907,0.15842227545395457,0.17771350915287204,,5592664b80d4c29078584027fbc1432874303c3f9680378966dabcc166500207,random_seed1001_4to8_budget20.json
stage2b_frozen,random_seed1002,Random (seed 1002),4to8,0.2,644245094,641728512,204,4.921875,0.1840066888166512,0.25666414014730043,0.21935728323073594,0.1460757264486451,0.1460757264486451,0.20152595966083317,,123101abfcddc5007c385f1e561c60de055dfd467130836fbef3df48c1562183,random_seed1002_4to8_budget20.json
stage2b_frozen,random_seed1003,Random (seed 1003),4to8,0.2,644245094,641728512,204,4.921875,0.19873250789269375,0.21000504593939426,0.2170988312646762,0.2342405673191463,0.19873250789269375,0.21501923810397763,,f8cfb0ce8191a6aea94b4494a222d9b1c8adc2ff5a2d22a2fb62ae5c735d3742,random_seed1003_4to8_budget20.json
stage2b_frozen,random_seed1004,Random (seed 1004),4to8,0.2,644245094,641728512,204,4.921875,0.21390150364874655,0.1938053956660795,0.2143171059250764,0.17513755133935624,0.17513755133935624,0.19929038914481467,,279b1616b7bdb3d74b3efc0ca82deaec859fadc64f13579487ee49fb1753a717,random_seed1004_4to8_budget20.json
stage2b_frozen,random_seed1005,Random (seed 1005),4to8,0.2,644245094,641728512,204,4.921875,0.18747118300955656,0.22096256555842692,0.1961439619574488,0.2707738852354691,0.18747118300955656,0.21883789894022534,,c2d45b346cc479f15abc52bac4e951508bc911a6d6cf1a93cc87587b6d2dd79b,random_seed1005_4to8_budget20.json
stage2b_frozen,robust_functional,Robust-Functional,4to8,0.3,966367641,965738496,307,5.32421875,0.7200118245633095,0.7203755865655739,0.719617406754772,0.7196257129000131,0.719617406754772,0.7199076326959171,,738174589ea93d6636856764650d98f2ee80d52813aadb77b402fadbbdb41ba3,robust_functional_4to8_budget30.json
stage2b_frozen,robust_routing,Robust-Routing,4to8,0.3,966367641,965738496,307,5.32421875,0.6394350492540387,0.6490438929368748,0.7338128785117275,0.6673975215872892,0.6394350492540387,0.6724223355724825,,c4f8f23e6607273b6c7d38e8caf5d9847bab0774047711d6ccc719f6f3531c88,robust_routing_4to8_budget30.json
stage2b_frozen,average_specialization,Average-Specialization,4to8,0.3,966367641,965738496,307,5.32421875,0.6534314688931833,0.730388918941125,0.8509715837169156,0.6811360310411921,0.6534314688931833,0.728982000648104,,e22fd07ec65646b0b8af6f42370fac627655392a89e71c34d769cb07893d8c10,average_specialization_4to8_budget30.json
stage2b_frozen,global_importance,Global-Importance,4to8,0.3,966367641,965738496,307,5.32421875,0.20270578741682505,0.512207832496625,0.856804274704831,0.6055742305374933,0.20270578741682505,0.5443230312889435,,6805fd2ed7c9acdc70cbaee252c5fcf1caafafa32a5eecb69cff06b0d4aceb58,global_importance_4to8_budget30.json
stage2b_frozen,general_only,General-Only,4to8,0.3,966367641,965738496,307,5.32421875,0.7654279109057442,0.296916462149576,0.11768961917014024,0.17555266853214777,0.11768961917014024,0.3388966651894021,,fd01bc3a22c63130128bbb3e80dcd2c5995e07612a7a3c9506ee8bd15825b539,general_only_4to8_budget30.json
stage2b_frozen,math_only,Math-Only,4to8,0.3,966367641,965738496,307,5.32421875,0.05352595367165932,0.8708424984163271,0.22540011164676593,0.3347089497260248,0.05352595367165932,0.37111937836519426,,102d94a3581dcd11ca286d8efc3876e66a6d2e9f23302a66754be88cfe8c4bc6,math_only_4to8_budget30.json
stage2b_frozen,coding_only,Coding-Only,4to8,0.3,966367641,965738496,307,5.32421875,0.07784457460015923,0.2952930353024292,0.9957536819341702,0.3357233452074235,0.07784457460015923,0.42615365926104554,,f1d5b677d897a53ee1d2fbbfe19e1dc11af74cbf85fd37b1b146bc5265036a80,coding_only_4to8_budget30.json
