metric,domain_a,domain_b,layer,layer_ordinal,spearman,kendall_tau,bootstrap_mean_spearman,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates
routing_frequency,general,coding,8,8,-0.020583386843350954,-0.017391330648535045,-0.011028706991850198,-0.12989388045219555,0.10933692022746491,100
routing_frequency,general,coding,9,9,-0.11268701993709695,-0.07098535835425726,-0.11815807793041434,-0.21784289936072845,-0.006607935105744301,100
routing_frequency,general,coding,10,10,-0.2849031549810294,-0.20258195148631425,-0.27734859642744425,-0.38161897269966516,-0.15571956775567217,100
routing_frequency,general,coding,11,11,-0.20398585149975976,-0.13842719354262698,-0.21850650201684352,-0.30484480596176317,-0.1200158240247048,100
routing_frequency,general,coding,12,12,-0.24747295558825433,-0.1737836010802456,-0.25263689457837146,-0.3692827090535043,-0.12106487958725483,100
routing_frequency,general,coding,13,13,-0.27747888008370936,-0.18362285139651902,-0.29352983408964267,-0.4147212892630454,-0.18547446926691147,100
routing_frequency,general,coding,14,14,-0.3986858525422966,-0.2774882873982112,-0.3835438111925612,-0.44787195088372517,-0.30288481372005216,100
routing_frequency,general,coding,15,15,-0.327968313567471,-0.21747765640516387,-0.30646157336598906,-0.37436094271550135,-0.225278028922433,100
routing_frequency,general,coding,average,average,-0.13533116138698642,-0.09187389307880145,-0.13155144992944826,-0.20989217766248744,-0.05103894895691177,100
routing_frequency,general,reasoning,0,0,-0.031045732930887738,-0.023342439259558437,-0.04011262401660201,-0.1340005036775484,0.05036122991166395,100
routing_frequency,general,reasoning,1,1,0.4192584622351403,0.3001736634168076,0.41337581704261916,0.37047358403437886,0.45913987766347925,100
routing_frequency,general,reasoning,2,2,0.22241554964311627,0.14636567059166652,0.21284505292144393,0.12281845886004293,0.31136515978699353,100
routing_frequency,general,reasoning,3,3,0.22477878133734616,0.16232316211078407,0.2045570118699281,0.12004771036535196,0.31208250902685636,100
routing_frequency,general,reasoning,4,4,-0.05673596489142866,-0.044223614768337284,-0.03269199075221047,-0.14103115915550973,0.10770956627956427,100
routing_frequency,general,reasoning,5,5,-0.024909850611213764,-0.025329029834840006,-0.008932642740889596,-0.09929891890140248,0.14206236458623733,100
routing_frequency,general,reasoning,6,6,0.1469372803649509,0.10374783144083755,0.16880461309402223,0.08280868317345776,0.26164650476450235,100
routing_frequency,general,reasoning,7,7,0.02751894503079283,0.008933002481389576,0.045225864360423945,-0.05358978073434046,0.17851758127459944,100
routing_frequency,general,reasoning,8,8,0.16003113628590168,0.12803971800081596,0.17777773007548864,0.08467190887993792,0.2738946478776382,100
routing_frequency,general,reasoning,9,9,0.14125781267886167,0.10521091811414392,0.1448883552160906,0.05951968618463969,0.26998780866496436,100
routing_frequency,general,reasoning,10,10,0.010371235282052393,0.009431623364161024,0.0004723398372842711,-0.0762492594215094,0.08071196121520093,100
routing_frequency,general,reasoning,11,11,0.2389908309546568,0.18010419805008457,0.22874067638018658,0.12967960124208777,0.3205136512914289,100
routing_frequency,general,reasoning,12,12,0.10879120879120878,0.11607142857142858,0.1141940369476512,-0.03782240524831666,0.26693634244032033,100
routing_frequency,general,reasoning,13,13,0.1990430184362846,0.1389578334892576,0.18427464394621723,0.05934348778761392,0.3110507332118761,100
routing_frequency,general,reasoning,14,14,0.11028182882534886,0.07245658460511291,0.1074744503783902,0.025103170196670126,0.19397307630669186,100
routing_frequency,general,reasoning,15,15,0.29446644848487374,0.2153846419083493,0.28726292176964735,0.21805691377359715,0.37867188292261045,100
routing_frequency,general,reasoning,average,average,0.1369656868698128,0.09964407451763146,0.13800976602060572,0.06519565522855647,0.23730590369586943,100
routing_frequency,math,coding,0,0,0.36273308991719344,0.24758125296692066,0.3434833806626514,0.28225569437503417,0.402684871945472,100
routing_frequency,math,coding,1,1,0.364541718679088,0.2525428011225704,0.3493651332984048,0.30437440557150086,0.3863370341688229,100
routing_frequency,math,coding,2,2,0.28125321949209303,0.20987348698398284,0.2841463502910646,0.22524515582751578,0.33884221979431906,100
routing_frequency,math,coding,3,3,0.2569685314453426,0.17622239311721208,0.2486446616327753,0.17850773264903458,0.30982281203489737,100
routing_frequency,math,coding,4,4,0.2959054018669355,0.2088811773528529,0.2981016070396494,0.2489632256785354,0.3398487978205706,100
routing_frequency,math,coding,5,5,0.1923327877047679,0.13842719354262698,0.19644964214157962,0.1505909342377904,0.2383964554989177,100
routing_frequency,math,coding,6,6,0.5030965608378483,0.3719893604850151,0.49895597349228965,0.457210558915773,0.5408954843217987,100
routing_frequency,math,coding,7,7,0.4619250407603078,0.32389472451602397,0.46179718503810363,0.4041808911280941,0.5084095261846874,100
routing_frequency,math,coding,8,8,0.3995787176753736,0.28273334682904117,0.40033513311326824,0.36024175967718197,0.43516236797432123,100
routing_frequency,math,coding,9,9,0.1538760932277119,0.11519364448857997,0.15665969605875618,0.10129065484408784,0.22489488976523075,100
routing_frequency,math,coding,10,10,0.19265330419421753,0.1344579550181072,0.20074097503719834,0.13702765663638056,0.27148931956739186,100
routing_frequency,math,coding,11,11,0.047344322344322336,0.031746031746031744,0.05127000629538315,-0.0029099295863959716,0.10637044539381983,100
routing_frequency,math,coding,12,12,-0.010508843243131534,-0.006951344043209823,-0.0017923309629505851,-0.050042354937628625,0.05070749903102192,100
routing_frequency,math,coding,13,13,-0.07037868034250652,-0.04568023833167826,-0.06656638218659422,-0.10562906813681217,-0.01573265505766284,100
routing_frequency,math,coding,14,14,-0.1451875086236096,-0.10129097574315714,-0.14701642537162546,-0.18931531844670418,-0.09341539685811778,100
routing_frequency,math,coding,15,15,-0.1569536499753694,-0.10573343587032724,-0.14727277031131258,-0.19263204288207544,-0.08938207967864355,100
routing_frequency,math,coding,average,average,0.19557375662253654,0.13961796088628703,0.19545636470429012,0.15969580181426604,0.23372438423528488,100
routing_frequency,math,reasoning,0,0,0.36161956132454204,0.2596178431292745,0.34860571748818214,0.29274264421222135,0.4040858887788626,100
routing_frequency,math,reasoning,1,1,0.6892399267399267,0.501984126984127,0.677920089556936,0.6385132542983826,0.7243167922684867,100
routing_frequency,math,reasoning,2,2,0.4154809464666263,0.31108906935923697,0.4112546362845848,0.35147625066115984,0.46793132794324066,100
routing_frequency,math,reasoning,3,3,0.7401497287025801,0.5349875930521091,0.7298021887799638,0.6970170491317118,0.7659763255968681,100
routing_frequency,math,reasoning,4,4,0.6422308204709748,0.47146407790998124,0.6399976253949311,0.5983934572232624,0.681698425301262,100
routing_frequency,math,reasoning,5,5,0.3462383809689897,0.25024829301250584,0.35870825741461965,0.309909161968922,0.42567338570342345,100
routing_frequency,math,reasoning,6,6,0.7134778728489042,0.5459057744220835,0.7028657292877036,0.668908183516621,0.7404972392029793,100
routing_frequency,math,reasoning,7,7,0.6607292087921328,0.4852248676975614,0.6458428129178795,0.6108788977859935,0.6786145453670479,100
routing_frequency,math,reasoning,8,8,0.7836259989690761,0.5736973411199351,0.7804893587526872,0.7508333068331701,0.8046409650467571,100
routing_frequency,math,reasoning,9,9,0.728253030714977,0.5346239926401054,0.722666889296373,0.6824012523271942,0.7562836355211545,100
routing_frequency,math,reasoning,10,10,0.7442307692307691,0.5684523809523809,0.7410686356703695,0.7053553175394595,0.7742608088969823,100
routing_frequency,math,reasoning,11,11,0.6508699633699633,0.4871031746031746,0.6456031620984135,0.6051519886968896,0.6850882136850107,100
routing_frequency,math,reasoning,12,12,0.5828754578754578,0.4464285714285714,0.5825687532435766,0.5512188294744688,0.6146603623435175,100
routing_frequency,math,reasoning,13,13,0.6956019048491231,0.5143992055610725,0.6920871146119348,0.6365902913686055,0.7449015805844118,100
routing_frequency,math,reasoning,14,14,0.5251096077361349,0.3757756382809283,0.5298477348174448,0.47428736689951145,0.5788928962410872,100
routing_frequency,math,reasoning,15,15,0.7196510949543713,0.5313818074700842,0.7064795956033225,0.6733198255875755,0.7394978024567257,100
routing_frequency,math,reasoning,average,average,0.6249615171259093,0.46202398485144575,0.6197380188261827,0.5868624753936617,0.6514527384568058,100
routing_frequency,coding,reasoning,0,0,0.39692751510013713,0.2800397564663756,0.3886096021306484,0.3477145767989194,0.43233578594358907,100
routing_frequency,coding,reasoning,1,1,0.24320333338742403,0.17315803063217497,0.2414513715073795,0.19437945012992724,0.2979082085727556,100
