domain,layer,layer_ordinal,layer_name,expert_id,routing_frequency,routing_rank,gate_mass,gate_rank,functional_contribution,functional_rank,normalized_routing,normalized_gate,normalized_contribution
general,0,0,model.layers.0.mlp,19,0.025549052108152906,7.0,0.010433059893135553,4.0,0.007192610208735088,5.0,0.025549052108152906,0.027387973815973785,0.02772604156609795
general,0,0,model.layers.0.mlp,20,0.008935046099658138,52.5,0.0025494776154433856,59.0,0.0017202095712589981,55.0,0.008935046099658138,0.006692669925351066,0.006631056138313133
general,0,0,model.layers.0.mlp,21,0.004454573707655651,63.0,0.0011027047736131255,61.0,0.0006332468983819436,62.0,0.004454573707655651,0.002894725974527978,0.002441037303094459
general,0,0,model.layers.0.mlp,22,0.019165026416658033,12.0,0.007032378009103388,16.0,0.003415742650258378,27.0,0.019165026416658033,0.018460795466541564,0.013166989444964299
general,0,0,model.layers.0.mlp,23,0.004946648710245519,62.0,0.0010755541509116337,63.0,0.0008203554934198086,60.0,0.004946648710245519,0.002823452488968378,0.0031623026758646556
general,0,0,model.layers.0.mlp,24,0.013700404019475811,33.0,0.004480775892209676,44.0,0.0023902006193861946,47.0,0.013700404019475811,0.011762548482236602,0.009213734625008862
general,0,0,model.layers.0.mlp,25,0.011563762560861909,43.5,0.005996645614543406,27.0,0.004150596404741258,16.0,0.011563762560861909,0.01574187963617923,0.015999700401141445
general,0,0,model.layers.0.mlp,26,0.02020097379053144,11.0,0.00840397132044442,10.0,0.005936923731711986,8.0,0.02020097379053144,0.022061384563311637,0.02288562696756345
general,0,0,model.layers.0.mlp,27,0.006966746089298663,60.0,0.0027588042375103596,58.0,0.001545148581568579,56.0,0.006966746089298663,0.007242176216207172,0.005956231820589902
general,0,0,model.layers.0.mlp,28,0.02633896198073138,5.0,0.007152924497646457,15.0,0.004341120175796538,14.0,0.02633896198073138,0.01877724376700588,0.016734130579102863
general,0,0,model.layers.0.mlp,29,0.015189578369418833,28.0,0.006984336455473687,17.0,0.003879012158645131,19.0,0.015189578369418833,0.018334680901268663,0.014952798667635324
general,0,0,model.layers.0.mlp,30,0.016406816533720087,19.0,0.008072928469452501,12.0,0.004587017533063617,12.0,0.016406816533720087,0.021192359269888623,0.017682014608783884
general,0,0,model.layers.0.mlp,31,0.00967315860354294,49.0,0.004411919282703564,45.0,0.00286060536981106,41.0,0.00967315860354294,0.011581792017927323,0.011027048746679223
