method,method_label,method_kind,regime,budget_fraction,mean_relative_delta,mean_relative_delta_ci_low,mean_relative_delta_ci_high,median_relative_delta,worst_relative_delta,worst_relative_delta_ci_low,worst_relative_delta_ci_high,worst_domain,worst_raw_delta_nll,mean_raw_delta_nll,mean_recovery,min_recovery,relative_delta_general,relative_delta_general_ci_low,relative_delta_general_ci_high,delta_nll_general,recovery_general,recovery_general_ci_low,recovery_general_ci_high,relative_delta_math,relative_delta_math_ci_low,relative_delta_math_ci_high,delta_nll_math,recovery_math,recovery_math_ci_low,recovery_math_ci_high,relative_delta_coding,relative_delta_coding_ci_low,relative_delta_coding_ci_high,delta_nll_coding,recovery_coding,recovery_coding_ci_low,recovery_coding_ci_high,relative_delta_reasoning,relative_delta_reasoning_ci_low,relative_delta_reasoning_ci_high,delta_nll_reasoning,recovery_reasoning,recovery_reasoning_ci_low,recovery_reasoning_ci_high
robust_routing,Robust-Routing,deterministic_milp,4to8,0.2,0.01596928482862304,0.013114366631978213,0.018903666919860267,0.014769800703614664,0.02986625994682562,0.024564318077613098,0.03456388171637829,coding,0.05644231319427484,0.035602008700370724,0.005330054163932785,0.0022661972045896484,0.014966094481721613,0.008801483313071613,0.02181546491558988,0.04515529870986912,0.006757869720459109,0.0009690718054772397,0.012091970562934661,0.014573506925507716,0.009038137377634812,0.020270115262058176,0.03221879482269285,0.0022661972045896484,-0.00196928292512899,0.006377097010612431,0.02986625994682562,0.024564318077613098,0.03456388171637829,0.05644231319427484,0.0056130170822144,0.0008461313843727281,0.00990725082159032,0.0044712779604371995,-0.0018957804583115943,0.01045962618837825,0.008591628074646085,0.006683132648467982,0.002166928887367309,0.011415172815322937
average_specialization,Average-Specialization,deterministic_milp,4to8,0.2,0.011392167252747639,0.009212700382434602,0.01368386490894866,0.009659103260628646,0.028731470291185692,0.025157618503686946,0.03221814827284166,coding,0.05429774761199946,0.02507882952690127,0.01585323333740224,0.007757582664489782,0.01001567807327731,0.005697947809147671,0.014707154516449467,0.030219035148620677,0.02169413328170755,0.012489061415195414,0.03228141599893577,0.009302528447979984,0.004764680737330421,0.013941660731287473,0.02056582927703854,0.013919162750243963,0.0023593934178350318,0.024550809919834226,0.028731470291185692,0.025157618503686946,0.03221814827284166,0.05429774761199946,0.007757582664489782,0.000791980504989659,0.013984061002731434,-0.0024810078014524325,-0.007947352813038966,0.0030630849312615074,-0.0047672939300535955,0.020042054653167662,0.011851423799991668,0.027961933135986633
global_importance,Global-Importance,deterministic_milp,4to8,0.2,0.008301779210848851,0.006630781296779109,0.01017997279731585,0.010491930740921864,0.011853175308517386,0.009920725977177677,0.017109279536584962,general,0.035763082504272514,0.019851738810539254,0.021080324053764254,0.011913726329803254,0.011853175308517386,0.0075799783617245065,0.017109279536584962,0.035763082504272514,0.016150085926055713,0.00646467047929733,0.02696693331003188,0.010209646225749032,0.007243602351340526,0.013354787117490163,0.022571265697479248,0.011913726329803254,0.0032743756771087653,0.021064483106136355,0.010774215256094696,0.007554943262587175,0.014209972692819118,0.02036149263381959,0.04169383764266965,0.03441052937507625,0.048359481275081835,0.00037008005303428433,-0.0031459992985830494,0.0039719747152492805,0.0007111144065856667,0.0145636463165284,0.005460179626941564,0.0237499014735221
general_only,General-Only,deterministic_milp,4to8,0.2,0.0095679835364738,0.007674239872781281,0.011900648319110954,0.008502297517195417,0.019125067910429634,0.014710355548815099,0.023701836841864117,coding,0.036143229007721045,0.021329647302627652,0.019602415561675857,0.011158354282379213,0.00925794956006553,0.005259410431977511,0.013600747967156905,0.027932837009430056,0.02398033142089817,0.012230169892310806,0.035924829542637045,0.007746645474325303,0.00399882787631287,0.011929054121609694,0.017126116752624654,0.017358875274657848,0.005600098252296326,0.0284592278599737,0.019125067910429634,0.014649435555649725,0.023701836841864117,0.036143229007721045,0.025912101268768195,0.02121032559871705,0.03024707549810442,0.002142271201074736,-0.002158004059413491,0.006821211445375723,0.004116406440734854,0.011158354282379213,0.002296952903270544,0.019317834377288935
math_only,Math-Only,deterministic_milp,4to8,0.2,0.010761742689315882,0.008801966718667165,0.012971376712273799,0.01020070855874652,0.021546280773254236,0.01719424176552176,0.02633183231592968,coding,0.04071892261505128,0.024155151247978124,0.016776911616325385,0.013162491321563774,0.010771895714232893,0.006274799165119173,0.016016765336879915,0.032500674724578626,0.0194124937057496,0.007023548960685399,0.0333388372063635,0.00962952140326015,0.005642788945870075,0.013435194796816423,0.021288738250732298,0.013196253776550204,0.002315345704555516,0.023940261304378506,0.021546280773254236,0.01719424176552176,0.02633183231592968,0.04071892261505128,0.02133640766143796,0.016415001809597003,0.025922362923622336,0.0010992728665162506,-0.003179317704989685,0.005601311189450854,0.002112269401550293,0.013162491321563774,0.004659239590167974,0.02162189942598348
coding_only,Coding-Only,deterministic_milp,4to8,0.2,0.008478617420074951,0.006690589312596862,0.010357813131947956,0.007453204553697803,0.013009974809452925,0.009037873585363452,0.01835915243199802,general,0.03925334692001359,0.020410969853401184,0.020521093010902325,0.002655923366546631,0.013009974809452925,0.008603911439306567,0.01835915243199802,0.03925334692001359,0.01265982151031464,0.0012403280138967633,0.024038431406020886,0.00833928016878803,0.005482479710157415,0.011148502043800152,0.01843630075454694,0.01604869127273556,0.006460162580013174,0.027378874838352583,0.005998085763451277,0.0031266285251080046,0.009050626523062186,0.011335394382476771,0.05071993589401247,0.040459003865718865,0.06114067268371597,0.006567128938607575,0.0027553147113736015,0.010501113158213383,0.012618837356567436,0.002655923366546631,-0.006940867960452901,0.012034047126769807
reasoning_only,Reasoning-Only,deterministic_milp,4to8,0.2,0.010519762095774635,0.008593146650540362,0.012470591393906067,0.011297111465890786,0.02001934416844482,0.01535107523029585,0.024500499009973795,coding,0.037833263874053946,0.024114101529121357,0.016817961335182152,0.011125664710998517,0.012028113296318393,0.007866730006586673,0.01677659372567934,0.036290900707244944,0.015622267723083283,0.005754836678504805,0.027151749789714873,0.010566109635463181,0.007416288826774373,0.01372422576287547,0.023359327316283984,0.011125664710998517,0.002563814938068354,0.020222686707973503,0.02001934416844482,0.015286259114937804,0.024500499009973795,0.037833263874053946,0.024222066402435294,0.01865319561958309,0.029670189619064345,-0.0005345187171278498,-0.004373449805900246,0.0033583572937018794,-0.0010270857810974476,0.016301846504211515,0.007237733900547017,0.02581004279851916
random_seed1001,Random (seed 1001),random,4to8,0.2,0.013381554601370119,0.011097883751083554,0.015858857953957438,0.014408037378828276,0.015459394273343294,0.013631728615849147,0.021371127163738946,general,0.046643669605255234,0.030883277654647823,0.010048785209655686,-0.002500693798065168,0.015459394273343294,0.009993956136422158,0.02126783437046038,0.046643669605255234,0.0052694988250729935,-0.001705284178256916,0.011774513781070415,0.014508335884709076,0.009626444526919508,0.019261066577410512,0.032074716091155864,0.002410275936126638,-0.0031272744536398832,0.007917356610297943,0.014307738872947477,0.009937772900431251,0.018490094973684527,0.02703927040100096,0.03501605987548828,0.03037134748697287,0.0400667747855187,0.00925074937448063,0.003994947399237146,0.014505582478000047,0.017775454521179235,-0.002500693798065168,-0.007321094751358126,0.002661903262138375
random_seed1002,Random (seed 1002),random,4to8,0.2,0.016847861243318538,0.014230843007575539,0.019692386019319053,0.015492623320617077,0.030031453001935552,0.0247002594239778,0.034570773216355835,coding,0.05675450086593625,0.03749403238296506,0.00343803048133845,0.00017330169677709506,0.01546506162471394,0.010085567550190654,0.021022184836945998,0.04666076898574811,0.005252399444580114,0.00021540099382386674,0.010380073189735339,0.015520185016520213,0.010036175207041934,0.021166627009143967,0.03431169033050541,0.00017330169677709506,-0.004165752112865462,0.004170605063438603,0.030031453001935552,0.0247002594239778,0.034570773216355835,0.05675450086593625,0.005300829410552987,-0.0003514655828475599,0.009986134946346075,0.006374745330104448,-6.0987899318085087e-05,0.012232301640906908,0.012249169349670463,0.0030255913734436035,-0.0008352636098860055,0.007090046942234134
random_seed1003,Random (seed 1003),random,4to8,0.2,0.015790076766312902,0.013139210935715405,0.01857731082225085,0.015290813551506213,0.026543786697614324,0.021200769665643552,0.0312989465751913,coding,0.05016338586807256,0.03559552967548374,0.00533653318881977,0.0025527691841125133,0.01613774509833792,0.010687755789840877,0.022015133642196837,0.04869037151336686,0.003222796916961368,-0.004516153097152742,0.01023047685623176,0.014443882004674507,0.00892648462568181,0.020009256846835435,0.03193222284316999,0.0025527691841125133,-0.002715443253516947,0.007932874739169846,0.026543786697614324,0.021200769665643552,0.0312989465751913,0.05016338586807256,0.011891944408416677,0.007695055782795052,0.015714575350284664,0.006034893264624858,8.22162869024766e-05,0.011806808991304029,0.011596138477325546,0.003678622245788521,2.887660264958572e-05,0.007183944344520558
