method,method_label,method_kind,regime,budget_fraction,mean_relative_delta,mean_relative_delta_ci_low,mean_relative_delta_ci_high,median_relative_delta,worst_relative_delta,worst_relative_delta_ci_low,worst_relative_delta_ci_high,worst_domain,worst_raw_delta_nll,mean_raw_delta_nll,mean_recovery,min_recovery,relative_delta_general,relative_delta_general_ci_low,relative_delta_general_ci_high,delta_nll_general,recovery_general,recovery_general_ci_low,recovery_general_ci_high,relative_delta_math,relative_delta_math_ci_low,relative_delta_math_ci_high,delta_nll_math,recovery_math,recovery_math_ci_low,recovery_math_ci_high,relative_delta_coding,relative_delta_coding_ci_low,relative_delta_coding_ci_high,delta_nll_coding,recovery_coding,recovery_coding_ci_low,recovery_coding_ci_high,relative_delta_reasoning,relative_delta_reasoning_ci_low,relative_delta_reasoning_ci_high,delta_nll_reasoning,recovery_reasoning,recovery_reasoning_ci_low,recovery_reasoning_ci_high
fragility_robust,Fragility-Robust,deterministic_milp,4to8,0.2,0.009221106981025653,0.007232241286167315,0.01129710373239545,0.005340448869105539,0.025616010321265394,0.02196185278262094,0.02915463373734682,coding,0.04834909200668336,0.018799120485782528,0.021323300302028725,0.014906890392303751,0.002909219993105705,-0.0012274462088917035,0.007229221473146583,0.008294949531554963,0.021242830753326558,0.011200294673442968,0.032199822545051535,0.007771677745105373,0.003708347267483184,0.011882878153507179,0.01742871761322018,0.014906890392303751,0.004498754739761368,0.024687974274158128,0.025616010321265394,0.02196185278262094,0.02915463373734682,0.04834909200668336,0.023138997554778884,0.01689601802825924,0.029655429363250822,0.0005875198646261425,-0.004268599227640713,0.00511884256528517,0.0011237227916716108,0.026004482507705706,0.01827707228064538,0.034368200600147204
general_only,General-Only,deterministic_milp,4to8,0.2,0.010041235181787973,0.007891563835297447,0.01207018735222445,0.005739935218573779,0.024147577839572804,0.01983161750378385,0.028500107616508612,coding,0.04557749032974234,0.020568881928920646,0.019553538858890607,0.015625618696212706,0.004537492450431532,0.00032660293178202844,0.009605691114455266,0.012937581539153697,0.016600198745727823,0.005570297420024984,0.028875038266181874,0.0054659333932180745,0.0017230151222408733,0.00914168037367198,0.012257869243621933,0.020077738761901998,0.011641795814037358,0.028282721996307436,0.024147577839572804,0.01983161750378385,0.028500107616508612,0.04557749032974234,0.0259105992317199,0.020921419620514047,0.03093514001369459,0.006013937043929482,0.001665128810521502,0.01047508455015197,0.01150258660316461,0.015625618696212706,0.008522118568420263,0.023434813410043658
global_importance,Global-Importance,deterministic_milp,4to8,0.2,0.0073935001800396125,0.005338400090063693,0.009500323503850213,0.007113567298457216,0.012976311128729674,0.010212973219883391,0.015992026862851765,coding,0.024492216110229448,0.01616193473339078,0.02396048605442047,0.012131469249725413,0.0061047734982662295,0.0013426807336718578,0.011315908176328254,0.017406311035156108,0.012131469249725413,0.002528445661068046,0.02287679255008678,0.008122361098648202,0.004452333884005439,0.011707872786006953,0.01821515798568729,0.014120450019836639,0.003393696188926598,0.024830441057682028,0.012976311128729674,0.01006996731565114,0.015992026862851765,0.024492216110229448,0.046995873451232795,0.03896776306629183,0.05557708805799471,0.002370554994514341,-0.001867566304403413,0.006885644557792026,0.004534053802490279,0.02259415149688704,0.013564315199851861,0.03141057002544399
math_only,Math-Only,deterministic_milp,4to8,0.2,0.011109520498149433,0.008648339308157402,0.013686376695592813,0.007988379037212234,0.023909926763317223,0.01968564528879322,0.028357787264781782,coding,0.04512893438339227,0.023733883202075978,0.016388537585735274,0.004841649532318026,0.008661472509796223,0.0028375573314376036,0.015255093878903789,0.024696130752563494,0.004841649532318026,-0.004341542780399243,0.014744909822940808,0.007315285564628244,0.0036275210406932538,0.011268046968067266,0.016405215263366912,0.015930392742157018,0.0043333542942999405,0.026271126210689433,0.023909926763317223,0.01968564528879322,0.028357787264781782,0.04512893438339227,0.02635915517806997,0.02056595385074634,0.032824957013130394,0.00455139715485604,-0.0006632877947080626,0.009873736248845105,0.008705252408981234,0.018422952890396083,0.008662949770689026,0.028518306761979993
reasoning_only,Reasoning-Only,deterministic_milp,4to8,0.2,0.010815584920591648,0.008530588193301495,0.013379250186860533,0.008023844204451356,0.023443737149815194,0.01903781282259323,0.028031459615351632,coding,0.04424902200698844,0.022864310741424587,0.017258110046386665,0.010765812397003138,0.006583739187514574,0.0010581560688435263,0.012591598723865673,0.018771967887878382,0.010765812397003138,0.0007884992957118198,0.020630613446235326,0.009463949221388138,0.004770789051462531,0.014411250449942651,0.021223795413971125,0.011111812591552805,0.00011438328027753041,0.021366153001785102,0.023443737149815194,0.01903781282259323,0.028031459615351632,0.04424902200698844,0.027239067554473806,0.02200911360979064,0.032198711633682216,0.0037709141236486883,0.0001462176523934205,0.007546447560122192,0.007212457656860405,0.019915747642516912,0.01061425089836115,0.02899868547916414
robust_functional,Robust-Functional,deterministic_milp,4to8,0.2,0.01149950004838281,0.009245432743420842,0.013847796760884,0.005868020776568346,0.0332050677151144,0.029523290047980013,0.03741962594299566,coding,0.06267310380935665,0.023139878511428846,0.016982542276382406,0.008814985752105597,0.0025395873004821086,-0.0022337127906201623,0.00774526978176116,0.007241029739379901,0.02229675054550162,0.013010859549045461,0.032809904456138766,0.009196454252654583,0.004492374839802334,0.014012497896233071,0.02062391281127951,0.01171169519424442,0.0006761217713356471,0.022581994295120318,0.0332050677151144,0.029523290047980013,0.03741962594299566,0.06267310380935665,0.008814985752105597,0.0032066381573677086,0.014116292238235437,0.001056890925280141,-0.003275895305270471,0.005230175790946906,0.0020214676856993297,0.025106737613677987,0.01718409883975991,0.03390213286876678
robust_routing,Robust-Routing,deterministic_milp,4to8,0.2,0.01644012482239657,0.013886195903891358,0.019174996643281372,0.012389928033000857,0.032752011324245885,0.029201125921770384,0.03635745444674624,coding,0.06181797981262194,0.0345671954751014,0.005555225312709855,-0.004293496608733793,0.008446491588409094,0.0027102290091786867,0.014863671948674334,0.02408316373825059,0.00545461654663093,-0.0016483852267268671,0.012773343443870766,0.016333364477592618,0.01105529595010032,0.02180567165262113,0.036629104614257724,-0.004293496608733793,-0.011411289215087595,0.002122561454773053,0.032752011324245885,0.029201125921770384,0.03635745444674624,0.06181797981262194,0.009670109748840305,0.0046060845255851855,0.014578541815281027,0.008228631899338692,0.002492425346808831,0.013625383419630968,0.01573853373527534,0.011389671564101977,0.006589071452617645,0.016156229525804523
random_seed1001,Random (seed 1001),random,4to8,0.2,0.013468170751939235,0.010809584843013883,0.016196657970567196,0.013324518155643676,0.017145088038501646,0.013908925623905567,0.022078783487305045,coding,0.03236059904098498,0.029176056385040172,0.01094636440277108,0.0008011651039123713,0.010078558657967938,0.0044438030266624315,0.016390062367959396,0.02873661518096915,0.0008011651039123713,-0.006623128354549024,0.008894758999347295,0.014052899409699648,0.008923627738811455,0.01892340390070332,0.03151494741439809,0.0008206605911258436,-0.004729972422123007,0.006856397628784238,0.017145088038501646,0.01269226954982286,0.022044868557778288,0.03236059904098498,0.03912749052047726,0.03383770895004272,0.04412152892351142,0.012596136901587701,0.007244476636522216,0.017998994864900964,0.02409206390380847,0.0030361413955688477,-0.0018785145282745495,0.008002054810524087
random_seed1002,Random (seed 1002),random,4to8,0.2,0.01745797477040481,0.014784926682201781,0.020197828148911134,0.012654340794543844,0.035225565448235095,0.03100233220372526,0.040053024962845296,coding,0.06648670434951764,0.03663465231657026,0.003487768471240993,-0.002567534446716202,0.009297652044296455,0.0037891385769364024,0.014898481381166393,0.02651004552841174,0.00302773475646978,-0.0030760593414307148,0.008939865708351334,0.015563736899642105,0.010807979325431824,0.020359931776007048,0.03490314245224013,-0.002567534446716202,-0.009189116835594414,0.003573327064514252,0.035225565448235095,0.03100233220372526,0.040053024962845296,0.06648670434951764,0.005001385211944598,0.0010801799893381148,0.008881971359253053,0.009744944689445584,0.003988446022297708,0.015322810643218106,0.01863871693611152,0.008489488363265796,0.004240161061286901,0.012305682718753812
random_seed1003,Random (seed 1003),random,4to8,0.2,0.01614379102273333,0.013494566222123295,0.019076865581150956,0.012994585741509579,0.031262125091162704,0.026536624085452865,0.036856153867651155,coding,0.05900588512420635,0.03361840516328801,0.0065040156245232406,-0.0008143568038936344,0.007323867516751459,0.002417404836579674,0.012982680171495124,0.02088226795196535,0.008655512332916171,0.003605789065360987,0.013911130666732763,0.01478197360687951,0.009943238447574774,0.019350721159632264,0.033149964809417565,-0.0008143568038936344,-0.006319161295890785,0.004841827690601184,0.031262125091162704,0.026536624085452865,0.036856153867651155,0.05900588512420635,0.012482204437255895,0.007745723664760529,0.017286248922348074,0.011207197876139646,0.005375134933458265,0.016935731304417466,0.021435502767562786,0.005692702531814531,0.0025836152434349224,0.008833153128624
